method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
PatchCore_native_official224,mpdd,1,4,bracket_brown,canvas grid*14 (448x448),0.05810931790842311,0.9573153131939487,0.05770346599252401,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_official224,mpdd,1,4,bracket_white,canvas grid*14 (448x448),0.004420550077254701,0.959418773336923,0.0035976180513633597,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_bracket_white.npz,True
PatchCore_native_official224,mpdd,1,4,connector,canvas grid*14 (448x448),0.2658995820216303,0.9714958547995823,0.25565194505937006,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_connector.npz,True
PatchCore_native_official224,mpdd,1,4,metal_plate,canvas grid*14 (448x448),0.7768500707668079,0.9687919346309426,0.7761084971926641,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_metal_plate.npz,True
PatchCore_native_official224,mpdd,1,4,tubes,canvas grid*14 (448x448),0.3131239419503452,0.9718869243026769,0.319454397231244,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_tubes.npz,True
PatchCore_native_official224,btad,0,1,01,canvas grid*14 (448x448),0.2343421077838071,0.8835051487187585,0.23325803313781396,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_01.npz,False
PatchCore_native_official224,btad,0,1,02,canvas grid*14 (448x448),0.49269098931232774,0.951588600232846,0.49355367448913945,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_02.npz,False
PatchCore_native_official224,btad,0,1,03,canvas grid*14 (448x588),0.04927338221738606,0.9224747399514222,0.04935927235028069,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k1\predictions\mvtec_03.npz,False
PatchCore_native_official224,btad,0,4,01,canvas grid*14 (448x448),0.2646416054929369,0.9095445913238116,0.2625651400208138,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_01.npz,False
PatchCore_native_official224,btad,0,4,02,canvas grid*14 (448x448),0.5071553631238469,0.9532932563166946,0.5081369054928121,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_02.npz,False
PatchCore_native_official224,btad,0,4,03,canvas grid*14 (448x588),0.13030706855281154,0.9554134636920242,0.13115703385507987,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s0_k4\predictions\mvtec_03.npz,False
PatchCore_native_official224,btad,1,1,01,canvas grid*14 (448x448),0.20405598930711083,0.8668916407241886,0.20282396605750874,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_01.npz,False
PatchCore_native_official224,btad,1,1,02,canvas grid*14 (448x448),0.47585220609332135,0.9496031794610906,0.47676529716573984,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_02.npz,False
PatchCore_native_official224,btad,1,1,03,canvas grid*14 (448x588),0.05104476144570068,0.9122419621261334,0.05096889353932764,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k1\predictions\mvtec_03.npz,False
PatchCore_native_official224,btad,1,4,01,canvas grid*14 (448x448),0.2718877562268585,0.9219605446922833,0.2696643226429699,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\btad_official224\btad_s1_k4\predictions\mvtec_01.npz,False
