dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mpdd,0,1,DUP_J,bracket_brown,0.03562750140950481,0.9046029971264187,0.7087128841756155,0.528657616892911
mpdd,0,1,DUP_J,bracket_white,0.08387013885406,0.9932579069112234,0.7045143887104063,0.7466666666666667
mpdd,0,1,DUP_J,connector,0.10397225152173639,0.9456403463387796,0.35479084867050553,0.5404761904761904
mpdd,0,1,DUP_J,metal_plate,0.8340748052705607,0.9695161070666353,1.0,1.0
mpdd,0,1,DUP_J,tubes,0.7166370660935911,0.9852870036558636,0.9744726662297847,0.9334239130434783
mpdd,0,1,DUP_BAL_J,bracket_black,0.010484232161356624,0.9419427536838594,0.5621490941122232,0.4275265957446808
mpdd,0,1,DUP_BAL_J,bracket_brown,0.03444572220086962,0.9098312844491359,0.739994946976059,0.5603318250377074
mpdd,0,1,DUP_BAL_J,bracket_white,0.08474999424338443,0.9942810208045932,0.7564372591813036,0.7855555555555556
mpdd,0,1,DUP_BAL_J,connector,0.12611134410447375,0.9488033127526325,0.4311063420475626,0.5714285714285714
mpdd,0,1,DUP_BAL_J,metal_plate,0.8713213686815223,0.9769343355764423,1.0,1.0
mpdd,0,1,DUP_BAL_J,tubes,0.7281610474270273,0.9862483457378635,0.9773282124774341,0.9406702898550725
mpdd,0,1,DUP_EXPECTED_J,bracket_black,0.012929528110801497,0.9424884496476343,0.5640699187407187,0.43683510638297873
mpdd,0,1,DUP_EXPECTED_J,bracket_brown,0.03562750140950481,0.9046029971264187,0.7087128841756155,0.528657616892911
mpdd,0,1,DUP_EXPECTED_J,bracket_white,0.08387013885406,0.9932579069112234,0.7045143887104063,0.7466666666666667
mpdd,0,1,DUP_EXPECTED_J,connector,0.10397225152173639,0.9456403463387796,0.35479084867050553,0.5404761904761904
mpdd,0,1,DUP_EXPECTED_J,metal_plate,0.8340748052705607,0.9695161070666353,1.0,1.0
mpdd,0,1,DUP_EXPECTED_J,tubes,0.7166370660935911,0.9852870036558636,0.9744726662297847,0.9334239130434783
mpdd,0,1,A1_L,bracket_black,0.009556231169085595,0.937041081492838,0.5511596943080193,0.4109042553191489
mpdd,0,1,A1_L,bracket_brown,0.03867846605714867,0.9196448110363264,0.7336251950484685,0.5769230769230769
mpdd,0,1,A1_L,bracket_white,0.09410628236856854,0.9938922226902085,0.7684812761368793,0.79
mpdd,0,1,A1_L,connector,0.1313785178610481,0.9572064884532119,0.47853225441090913,0.5976190476190476
mpdd,0,1,A1_L,metal_plate,0.8692493549920206,0.9782306918335358,1.0,1.0
mpdd,0,1,A1_L,tubes,0.7360581106873492,0.9883807246730091,0.9771631558003026,0.9375
mpdd,0,1,DUP_L,bracket_black,0.012060407170852194,0.9389131861806321,0.558234221305072,0.42486702127659576
mpdd,0,1,DUP_L,bracket_brown,0.0385171148055676,0.9112560810934761,0.6987479488159031,0.5384615384615384
mpdd,0,1,DUP_L,bracket_white,0.08814860824877827,0.993053185233188,0.7263949041469987,0.7622222222222222
mpdd,0,1,DUP_L,connector,0.10843826636969865,0.9521554125259166,0.3559305928409107,0.5571428571428572
mpdd,0,1,DUP_L,metal_plate,0.8305623507586168,0.9702760376784028,1.0,1.0
mpdd,0,1,DUP_L,tubes,0.7195808707895374,0.9865460219523725,0.9751915824224371,0.9325181159420289
mpdd,0,1,TRI_L,bracket_black,0.010705184039400501,0.9361269707272014,0.5558635434946948,0.418218085106383
mpdd,0,1,TRI_L,bracket_brown,0.04342881711830433,0.9290572633603793,0.6865408692801348,0.5158371040723982
mpdd,0,1,TRI_L,bracket_white,0.10373705523272973,0.9937216212918457,0.7411254911499098,0.7444444444444445
mpdd,0,1,TRI_L,connector,0.12692810183482495,0.9560980532656315,0.3908475852668976,0.5761904761904761
mpdd,0,1,TRI_L,metal_plate,0.8704466484148075,0.977657715826102,1.0,1.0
mpdd,0,1,TRI_L,tubes,0.7005061417197128,0.9867114821835946,0.9800588208734976,0.9492753623188406
mpdd,0,1,BAL_L,bracket_black,0.008781617607320782,0.9343038080665832,0.5558924118360454,0.40757978723404253
mpdd,0,1,BAL_L,bracket_brown,0.04236205107296582,0.9322566946512283,0.7105906183014447,0.5452488687782805
mpdd,0,1,BAL_L,bracket_white,0.09988428122219696,0.9944595341518656,0.782288069288856,0.7855555555555556
mpdd,0,1,BAL_L,connector,0.14841372433644634,0.9600908294167427,0.5050262455947658,0.6214285714285714
mpdd,0,1,BAL_L,metal_plate,0.898121293837754,0.9834366887375492,1.0,1.0
mpdd,0,1,BAL_L,tubes,0.7167159405376741,0.9882990837353548,0.982789457915262,0.9556159420289855
mpdd,0,2,B,bracket_black,0.041848822779168675,0.9481783040723502,0.6130649371564896,0.4627659574468085
mpdd,0,2,B,bracket_brown,0.03768394743473728,0.8817220657928118,0.6526055952335708,0.45248868778280543
